name,type,team,salary,prior_value
Rogers, Trevor,pitcher,BAL,200,62.630
Skubal, Tarik,pitcher,DET,200,61.190
Judge, Aaron,batter,NYY,195,130.150
Wheeler, Zack,pitcher,PHI,182,55.470
Ohtani, Shohei,batter,LAD,178,114.400
Sánchez, Cristopher,pitcher,PHI,166,55.370
Kurtz, Nick,batter,ATH,162,103.500
Fried, Max,pitcher,NYY,152,51.240
Springer, George,batter,TOR,148,102.650
Skenes, Paul,pitcher,PIT,139,51.880
Ramírez, José,batter,CLE,135,98.550
Crochet, Garrett,pitcher,BOS,127,46.900
Raleigh, Cal,batter,SEA,123,98.550
Eovaldi, Nathan,pitcher,TEX,116,52.310
Soto, Juan,batter,NYM,113,95.450
Yamamoto, Yoshinobu,pitcher,LAD,106,48.320
Marte, Ketel,batter,AZ,103,97.000
Woo, Bryan,pitcher,SEA,97,46.510
Jones, Jahmai,batter,DET,94,95.350
Bradish, Kyle,pitcher,BAL,89,47.300
Bellinger, Cody,batter,NYY,86,94.200
Pivetta, Nick,pitcher,SD,82,39.270
Acuña Jr., Ronald,batter,ATL,79,94.850
Gausman, Kevin,pitcher,TOR,76,43.310
Perdomo, Geraldo,batter,AZ,73,91.900
McLean, Nolan,pitcher,NYM,70,46.190
Witt Jr., Bobby,batter,KC,67,93.900
Sale, Chris,pitcher,ATL,64,46.270
Schwarber, Kyle,batter,PHI,62,94.750
Suarez, Ranger,pitcher,PHI,60,38.590
Langeliers, Shea,batter,ATH,57,91.150
Brown, Hunter,pitcher,HOU,55,39.970
Carroll, Corbin,batter,AZ,53,91.950
Gilbert, Logan,pitcher,SEA,51,38.640
Smith, Will,batter,LAD,49,89.450
Henderson, Logan,pitcher,MIL,48,39.260
Stanton, Giancarlo,batter,NYY,45,88.750
Schwellenbach, Spencer,pitcher,ATL,44,43.640
Busch, Michael,batter,CHC,42,87.150
Woodruff, Brandon,pitcher,MIL,41,46.160
Stowers, Kyle,batter,MIA,39,88.200
Webb, Logan,pitcher,SF,39,40.820
Díaz, Yandy,batter,TB,37,87.300
Waldrep, Hurston,pitcher,ATL,36,34.350
Buxton, Byron,batter,MIN,34,90.450
Snell, Blake,pitcher,LAD,34,33.980
Varsho, Daulton,batter,TOR,32,88.350
Mahle, Tyler,pitcher,TEX,32,33.910
Caminero, Junior,batter,TB,30,87.750
Sheehan, Emmet,pitcher,LAD,30,34.260
Freeman, Freddie,batter,LAD,29,87.000
Olson, Reese,pitcher,DET,29,33.320
Guerrero Jr., Vladimir,batter,TOR,27,88.600
Luzardo, Jesús,pitcher,PHI,27,32.700
Abreu, Wilyer,batter,BOS,26,77.000
Adames, Willy,batter,SF,26,64.500
Adell, Jo,batter,LAA,26,68.050
Alonso, Pete,batter,NYM,26,81.050
Altuve, Jose,batter,HOU,26,75.300
Alvarez, Yordan,batter,HOU,26,79.000
Amaya, Miguel,batter,CHC,26,75.050
Andujar, Miguel,batter,CIN,26,81.100
Anthony, Roman,batter,BOS,26,77.100
Aranda, Jonathan,batter,TB,26,83.850
Bader, Harrison,batter,PHI,26,71.550
Baldwin, Drake,batter,ATL,26,78.400
Barger, Addison,batter,TOR,26,68.000
Beavers, Dylan,batter,BAL,26,74.200
Benintendi, Andrew,batter,CWS,26,72.450
Betts, Mookie,batter,LAD,26,72.700
Bichette, Bo,batter,TOR,26,82.450
Bogaerts, Xander,batter,SD,26,65.750
Bregman, Alex,batter,BOS,26,79.700
Burleson, Alec,batter,STL,26,80.500
Canzone, Dominic,batter,SEA,26,80.500
Carpenter, Kerry,batter,DET,26,72.350
Chisholm Jr., Jazz,batter,NYY,26,78.650
Chourio, Jackson,batter,MIL,26,75.450
Crow-Armstrong, Pete,batter,CHC,26,77.100
Devers, Rafael,batter,SF,26,82.600
Diaz, Yainer,batter,HOU,26,67.750
Donovan, Brendan,batter,STL,26,74.600
Freeman, Tyler,batter,COL,26,70.650
Frelick, Sal,batter,MIL,26,77.150
Garcia, Maikel,batter,KC,26,83.850
Goodman, Hunter,batter,COL,26,80.250
Greene, Riley,batter,DET,26,69.350
Grisham, Trent,batter,NYY,26,81.950
Harper, Bryce,batter,PHI,26,84.400
Heineman, Tyler,batter,TOR,26,71.600
Helman, Michael,batter,TEX,26,70.850
Henderson, Gunnar,batter,BAL,26,74.600
Hernández, Heriberto,batter,MIA,26,71.100
Herrera, Iván,batter,STL,26,79.000
Hoerner, Nico,batter,CHC,26,78.050
Horwitz, Spencer,batter,PIT,26,70.250
Keaschall, Luke,batter,MIN,26,84.400
Kirk, Alejandro,batter,TOR,26,77.700
Laureano, Ramón,batter,SD,26,83.100
Lee, Jung Hoo,batter,SF,26,72.350
Lile, Daylen,batter,WSH,26,82.450
Lindor, Francisco,batter,NYM,26,82.100
Loperfido, Joey,batter,TOR,26,82.800
Machado, Manny,batter,SD,26,74.100
Mangum, Jake,batter,TB,26,74.700
Marsee, Jakob,batter,MIA,26,79.700
Martin, Austin,batter,MIN,26,73.600
McNeil, Jeff,batter,NYM,26,72.400
Merrill, Jackson,batter,SD,26,74.350
Montgomery, Colson,batter,CWS,26,80.750
Moreno, Gabriel,batter,AZ,26,79.200
Muncy, Max,batter,LAD,26,83.700
Naylor, Josh,batter,SEA,26,79.600
Neto, Zach,batter,LAA,26,72.100
Nimmo, Brandon,batter,NYM,26,71.600
Pages, Andy,batter,LAD,26,75.850
Paredes, Isaac,batter,HOU,26,73.550
Pasquantino, Vinnie,batter,KC,26,73.300
Peña, Jeremy,batter,HOU,26,83.950
Polanco, Jorge,batter,SEA,26,86.300
Refsnyder, Rob,batter,BOS,26,81.000
Rice, Ben,batter,NYY,26,82.800
Rivas, Leo,batter,SEA,26,65.600
Rooker, Brent,batter,ATH,26,78.550
Rosario, Amed,batter,NYY,26,69.300
Schneider, Davis,batter,TOR,26,75.750
Seager, Corey,batter,TEX,26,82.300
Sheets, Gavin,batter,SD,26,68.400
Simpson, Chandler,batter,TB,26,78.500
Stott, Bryson,batter,PHI,26,72.450
Suárez, Eugenio,batter,SEA,26,71.550
Suzuki, Seiya,batter,CHC,26,78.000
Tatis Jr., Fernando,batter,SD,26,81.600
Teel, Kyle,batter,CWS,26,65.950
Tucker, Kyle,batter,CHC,26,82.600
Turang, Brice,batter,MIL,26,76.800
Turner, Trea,batter,PHI,26,83.200
Westburg, Jordan,batter,BAL,26,76.850
Wilson, Jacob,batter,ATH,26,77.750
Wood, James,batter,WSH,26,74.900
Wynns, Austin,batter,ATH,26,77.600
Yastrzemski, Mike,batter,KC,26,69.250
Ohtani, Shohei,pitcher,LAD,26,37.900
Abrams, CJ,batter,WSH,25,64.850
Clemens, Kody,batter,MIN,25,62.900
Dingler, Dillon,batter,DET,25,64.650
Edwards, Xavier,batter,MIA,25,74.300
Gonzalez, Romy,batter,BOS,25,73.350
Kelly, Carson,batter,CHC,25,67.100
Olson, Matt,batter,ATL,25,78.600
Rodríguez, Julio,batter,SEA,25,77.400
Soderstrom, Tyler,batter,ATH,25,77.800
Ward, Taylor,batter,LAA,25,71.350
Peralta, Freddy,pitcher,MIL,25,33.150
Albies, Ozzie,batter,ATL,24,63.700
Arraez, Luis,batter,SD,24,69.500
Durbin, Caleb,batter,MIL,24,63.650
Happ, Ian,batter,CHC,24,70.800
Langford, Wyatt,batter,TEX,24,74.200
Matos, Luis,batter,SF,24,64.300
McGuire, Reese,batter,CHC,24,72.300
Moncada, Yoán,batter,LAA,24,62.650
Moniak, Mickey,batter,COL,24,76.250
O'Hearn, Ryan,batter,SD,24,74.900
Profar, Jurickson,batter,ATL,24,76.050
Schanuel, Nolan,batter,LAA,24,66.800
Sosa, Edmundo,batter,PHI,24,77.100
Horton, Cade,pitcher,CHC,24,34.260
Alvarez, Francisco,batter,NYM,23,65.300
Call, Alex,batter,LAD,23,64.950
Correa, Carlos,batter,HOU,23,59.750
Duran, Jarren,batter,BOS,23,69.050
Goldschmidt, Paul,batter,NYY,23,61.750
Hays, Austin,batter,CIN,23,67.000
Johnston, Troy,batter,MIA,23,66.400
Kwan, Steven,batter,CLE,23,69.850
McKinstry, Zach,batter,DET,23,68.800
Meyers, Jake,batter,HOU,23,69.400
Narváez, Carlos,batter,BOS,23,61.650
Rojas, Miguel,batter,LAD,23,63.550
Smith, Dominic,batter,SF,23,62.750
